"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5HFJICsPsZtxdkGWthFbI2","Suzie","spotify:artist:5qVBMUGPLZJlWqeLgKrs4U","Boy Kill Boy","spotify:album:6dc19s2T0h6iy85vMkBshw","Civilian (eDeluxe Version)","spotify:artist:5qVBMUGPLZJlWqeLgKrs4U","Boy Kill Boy","2006-01-01","https://i.scdn.co/image/ab67616d0000b27333a29f8009195253d1051ea1","1","3","199720","https://p.scdn.co/mp3-preview/b1fbd9c918e3c793b9817eb52ea9acf08289216a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:2B60SqgEPlhOWzRLeQpv0r","Rock & Roll Queen","spotify:artist:4BntNFyiN3VGG4hhRRZt9d","The Subways","spotify:album:4Rm9stzsicIURv7scdmadd","Rock & Roll Queen","spotify:artist:4BntNFyiN3VGG4hhRRZt9d","The Subways","2005-10-18","https://i.scdn.co/image/ab67616d0000b27393550df874a5ac2e0131fabc","1","1","172533","https://p.scdn.co/mp3-preview/179ba96f0ce108ca99b14903f2f26aafa4fdd764?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:65gtizQxIN8tywyPTreXue","Munich","spotify:artist:6e9wIFWhBPHLE9bXK8gtBI","Editors","spotify:album:52vGTQxM383qjR008OnWRu","The Back Room","spotify:artist:6e9wIFWhBPHLE9bXK8gtBI","Editors","2005-07-23","https://i.scdn.co/image/ab67616d0000b2730af4d65d8162118202c99fef","1","2","226426","","false","0","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:6a4YBIv2cJpnu1mUN8Mm9s","Fancy Footwork","spotify:artist:2mV8aJphiSHYJf43DxL7Gt","Chromeo","spotify:album:0wlpUqiaBLV8Loqomf2ANh","Step Up 3D (Music From The Original Motion Picture Soundtrack)","spotify:artist:0AIMmHFce2zJO6jywQETKX","Step Up 3D","2010-07-14","https://i.scdn.co/image/ab67616d0000b273cbab1a10f2cfd2c9b0a68d5a","1","6","198706","","false","0","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:2RxbxTtKahLLmB0wGgkXzt","Boyz","spotify:artist:0QJIPDAEDILuo8AIq3pMuU","M.I.A.","spotify:album:5c4JW9TBpawiv9pI2vrNsE","Kala (Expanded)","spotify:artist:0QJIPDAEDILuo8AIq3pMuU","M.I.A.","2008-11-24","https://i.scdn.co/image/ab67616d0000b273291f692c33ece12f559130f6","1","3","207466","","false","0","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:02YKcr5wujiQGCSN1accU0","BirdFlu","spotify:artist:0QJIPDAEDILuo8AIq3pMuU","M.I.A.","spotify:album:5c4JW9TBpawiv9pI2vrNsE","Kala (Expanded)","spotify:artist:0QJIPDAEDILuo8AIq3pMuU","M.I.A.","2008-11-24","https://i.scdn.co/image/ab67616d0000b273291f692c33ece12f559130f6","1","2","204613","","false","0","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:091hq93IbUZQXwBf2hQQwL","Crocodile","spotify:artist:1PXHzxRDiLnjqNrRn2Xbsa","Underworld","spotify:album:5MT6W5UFo4YR91rYYoviZm","1992 - 2012 Anthology","spotify:artist:1PXHzxRDiLnjqNrRn2Xbsa","Underworld","2011-12-04","https://i.scdn.co/image/ab67616d0000b2734652c6838a35748ca9dc1511","1","15","390640","","false","0","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:3UlWwvNQBYKpQblpQV6iWp","Sabor Tropical","spotify:artist:59iD1zNdeUomze2AM8FSLn, spotify:artist:7AIDQA9wkIexSptUkSduZR, spotify:artist:4JNas9KAWfyISmIlxDd1Dk","Empresarios, Felix Perez, Francisco Rosado","spotify:album:3C3TxasxS6NoSUbUhfumki","The New Gold Standard 2","spotify:artist:5nz5ZBNSvKegsJg11XwjC5","Fort Knox Five","2009-11-17","https://i.scdn.co/image/ab67616d0000b2739459562808e6e53284f09224","1","5","212790","","false","0","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:48C5jIgVze1nxTm0D0hjZo","Punching In A Dream","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","spotify:album:3HJ6KvW4Lpuhc1FbWmQhOL","Passive Me, Aggressive You","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","2010","https://i.scdn.co/image/ab67616d0000b27331c4aa9c5dc313171564518b","1","2","238133","","false","0","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:5kCxybTfFWixoqzEpZpcJO","In My Mind - Radio Edit","spotify:artist:5a2Kj8Jq5yZV1GxUKqCRdK","Antiloop","spotify:album:27Kihxssp8u7g8sHtv17sh","In My Mind","spotify:artist:5a2Kj8Jq5yZV1GxUKqCRdK","Antiloop","1997-01-01","https://i.scdn.co/image/ab67616d0000b2733cbbbff16cce002a8c2f7ad9","1","1","208573","https://p.scdn.co/mp3-preview/66036ea4292c2febd701b1c790b029f77e278f7a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:hcg.12","2021-10-04T03:00:45Z"
